,name,artist,uris
126,Who'll Stop The Rain,Creedence Clearwater Revival,spotify:track:3Bh6uInhcVBVvLraGZdkKD
127,No More Mr. Nice Guy,Alice Cooper,spotify:track:5D2eCwqbHcqOnfHOCM6TnV
128,Bed of Nails,Alice Cooper,spotify:track:5XeT9fYCeg1jYithrEni7v
129,The Black Widow,Alice Cooper,spotify:track:1XExJX2yD9o5Si6dAlxAto
130,Carry on Wayward Son,Kansas,spotify:track:4DMKwE2E2iYDKY01C335Uw
131,Smokin' in the Boy's Room,Brownsville Station,spotify:track:1AIGp3gpj1NXJvh3engmUQ
132,Dream In Black & White - Now The Truth Can Be Told Album Version,Steve Taylor,spotify:track:1UO3pKI4mBiPXoaPPMlLL3
133,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,spotify:track:4BFMQ15vXr626UOoZL8bUI
134,Billy Don’t Be A Hero,Paper Lace,spotify:track:48RP92BBNCGybHpdQ8NuIO
135,Time Warp,Little Nell,spotify:track:4WFeJTXNHIS2wURtwlAkhu
136,Wrecking Hotel Rooms,MxPx,spotify:track:4KWWDLTgYHjBxmg27nbLYZ
137,Punk Rawk Show,MxPx,spotify:track:4BeTldZgaLMFUCeVeBbvwB
138,Two Whole Years,MxPx,spotify:track:0E3mUNKgTdbPwjnIbvgBjk
139,Misplaced Memories,MxPx,spotify:track:5lqBrzNdIRUj4mpbUpRBzU
140,Butterfly Kisses,Bob Carlisle,spotify:track:1mwCSKK0YRDsgnj2VwyZSU
141,All The Small Things,blink-182,spotify:track:7yCPwWs66K8Ba5lFuU2bcx
142,First Date,blink-182,spotify:track:1fJFuvU2ldmeAm5nFIHcPP
143,Listen To Your Heart,Roxette,spotify:track:78TnMTAFmWUWWCgNXR7D3K
144,"There's a Fine, Fine Line",Stephanie D'Abruzzo,spotify:track:2W7wqrmruKE07zZCg8rSdm
145,Mrs. Robinson,The Lemonheads,spotify:track:3672j9qcUufXuGwVoXHaeK
146,Hallelujah,Pentatonix,spotify:track:550rQQCGkrTzvp4SfpOPzx
147,Crash,The Primitives,spotify:track:4tPHC7YsU3LInUYcIe2UIi
148,You're the Inspiration - 2009 Remaster,Chicago,spotify:track:6d7PQZtTbHbcYqaygOW7vs
149,Total Eclipse of the Heart,Bonnie Tyler,spotify:track:5prTs2HAw2G4idHZyeFp8o
150,The Devil Went Down to Georgia,The Charlie Daniels Band,spotify:track:6gRACp2CvsIhc7hyw8CecQ
151,Video Killed The Radio Star,The Buggles,spotify:track:6t1FIJlZWTQfIZhsGjaulM
152,Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:7e89621JPkKaeDSTQ3avtg
153,Tainted Love,Soft Cell,spotify:track:4GDmAT5ZZyHdBo32UYDIvM
154,Everybody Wants To Rule The World,Tears For Fears,spotify:track:4RvWPyQ5RL0ao9LPZeSouE
155,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,spotify:track:61UU9qfuXmdFyqCSE7v5gz
156,21 Guns (feat. The Cast of American Idiot),Green Day,spotify:track:3DnG0TWnSc0fs6quO4sKXU
157,When I'm Gone,3 Doors Down,spotify:track:3WbphvawbMZ8FyqDxYGdSQ
158,Little Talks,Of Monsters and Men,spotify:track:2ihCaVdNZmnHZWt0fvAM7B
159,Crazy B*tch,Buckcherry,spotify:track:1gtHjIoQIU5XIcRGjn7DfH
160,Breaking the Habit,Linkin Park,spotify:track:6n8TMVyFKoUmDc4apxceRD
161,In the End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
162,Bleed It Out,Linkin Park,spotify:track:0UFDKFqW2oGspYeYqo9wjA
163,Forever In Blue Jeans,Neil Diamond,spotify:track:1K1nzhbKCNmrNXi9B07mPF
164,Coming to America,Neil Diamond,spotify:track:0WUwK944tQYw6V2OEBbKQj
165,Fidelity,Regina Spektor,spotify:track:6GskIhdM6TN6EkPgeSjVfW
166,Soak Up The Sun,Sheryl Crow,spotify:track:215JYyyUnrJ98NK3KEwu6d
167,Kiss Me I'm #!@'faced,Dropkick Murphys,spotify:track:76JBKwPnXX4SjpTrOMfTNM
168,Billionaire (feat. Bruno Mars),Travie McCoy,spotify:track:2M9ULmQwTaTGmAdXaXpfz5
169,Take A Bow,Rihanna,spotify:track:3mmjD9G2HUUzDbFl3NRDLM
170,Beat on the Brat - 2016 Remaster,Ramones,spotify:track:55mKuESqpfgqe0kooIkTH2
171,I Don't Care - 2002 Remaster,Ramones,spotify:track:7KbwwsvglWtL4aqVFhFfdG
172,We Want the Airwaves - 2002 Remaster,Ramones,spotify:track:6x7B9cDXyH4X7lCwH6B40o
173,I Wanna Be Sedated - 2002 Remaster,Ramones,spotify:track:6vvmYYUvGXtZLU8msxKvzF
174,53rd & 3rd - Remastered Version,Ramones,spotify:track:3dqu92ZvdxKZTJ8PnRD7rL
175,Thank You,Ray Boltz,spotify:track:6xvyHB0hRzt4ZUrp3RWz0h
176,The Altar,Ray Boltz,spotify:track:59TTPd9hQSLxbfgsrFqX3a
177,Watch the Lamb,Ray Boltz,spotify:track:5Kbu6EfNuU8NlH9IiQ9DQp
178,Rock 'n' Roll High School,Ramones,spotify:track:3iDQWZabT5WtDDLPhPuutK
179,Africa,TOTO,spotify:track:2374M0fQpWi3dLnB54qaLX
180,Barbie Girl,Aqua,spotify:track:2ZCTP54O2dMSbVrdsg60to
181,I Write The Songs,Barry Manilow,spotify:track:5VU6nvX3BqkqBmOJ2d9vhW
182,"Gone, Gone, Gone",Phillip Phillips,spotify:track:5L79aNYCTKiZq7vaOElXYj
183,Welcome to the Black Parade,My Chemical Romance,spotify:track:5wQnmLuC1W7ATsArWACrgW
184,Metal Crusade - Instrumental Version,Mortification,spotify:track:5xIztQZYw30ToPbkCmVDqM
185,Papa Was A Rollin' Stone - Single Version,The Temptations,spotify:track:1zC9mSQAH2fn3DGscYRuCY
186,Just Dropped In (To See What Condition My Condition Is In),Kenny Rogers & The First Edition,spotify:track:1dWvuCErtHSFAuDVzjbLeb
187,Apologize,OneRepublic,spotify:track:6fOPuabPdAJ0HgqJFcDGb1
